,Country,Name,URL
7211,US,Augustana College,http://www.augustana.edu/
7212,US,Augustana College,http://www.augie.edu/
7214,US,Aurora University,http://www.aurora.edu/
7217,US,Austin Peay State University,http://www.apsu.edu/
7220,US,Avila College,http://www.avila.edu/
7222,US,Babson College,http://www.babson.edu/
7233,US,Baltimore Hebrew University,http://www.bhu.edu/
7239,US,Barber-Scotia College,http://www.b-sc.edu/
7240,US,Barclay College,http://www.barclaycollege.edu/
7241,US,Bard College,http://www.bard.edu/
7243,US,Barnard College - Columbia University,http://www.barnard.edu/
7244,US,Barry University,http://www.barry.edu/
7246,US,Barton College,http://www.barton.edu/
7247,US,Bastyr University,http://www.bastyr.edu/
7248,US,Bates College,http://www.bates.edu/
7251,US,Baylor College of Medicine,http://www.bcm.tmc.edu/
7253,US,Belhaven College,http://www.belhaven.edu/
7254,US,Bellarmine College,http://www.bellarmine.edu/
7255,US,Bellevue University,http://www.bellevue.edu/
7259,US,Beloit College,http://www.beloit.edu/
7261,US,Benedict College,http://www.benedict.edu/
7266,US,Bennington College,http://www.bennington.edu/
7267,US,Bentley College,http://www.bentley.edu/
7270,US,Berklee College of Music,http://www.berklee.edu/
7272,US,Berry College,http://www.berry.edu/
7273,US,Bethany College California,http://www.bethany.edu/
7278,US,Bethel College Newton,http://www.bethelks.edu/
7282,US,Biola University,http://www.biola.edu/
7283,US,Birmingham-Southern College,http://www.bsc.edu/
7285,US,Black Hawk College,http://www.bhc.edu/
7286,US,Black Hills State University,http://www.bhsu.edu/
7288,US,Bloomfield College,http://www.bloomfield.edu/
7289,US,Bloomsburg University of Pennsylvania,http://www.bloomu.edu/
7293,US,Bluffton College,http://www.bluffton.edu/
7294,US,Bob Jones University,http://www.bju.edu/
7296,US,Boise State University,http://www.boisestate.edu/
7297,US,Boricua College,http://www.boricuacollege.edu/
7298,US,Boston Architectural Center,http://www.the-bac.edu/
7299,US,Boston College,http://www.bc.edu/
7300,US,Boston University,http://www.bu.edu/
7301,US,Bowdoin College,http://www.bowdoin.edu/
7303,US,Bowling Green State University,http://www.bgsu.edu/
7304,US,"Bowling Green State University, Firelands",http://www.firelands.bgsu.edu/
7305,US,Bradley University,http://www.bradley.edu/
7309,US,Brescia University,http://www.brescia.edu/
7310,US,Brevard College,http://www.brevard.edu/
7311,US,Brewton-Parker College,http://www.bpc.edu/
7315,US,Bridgewater State College,http://www.bridgew.edu/
7316,US,Brigham Young University,http://www.byui.edu/
7317,US,Brigham Young University,http://www.byu.edu/
7318,US,Brigham Young University Hawaii,http://www.byuh.edu/
7319,US,Brooklyn Law School,http://www.brooklaw.edu/
7321,US,Brown University,http://www.brown.edu/
7323,US,Bryan College,http://www.bryan.edu/
7324,US,Bryant and Stratton College,http://www.bryantstratton.edu/
7325,US,Bryant University,http://www.bryant.edu/
